ul.,482
Wydz,431
kościele św.,331
parafii św.,304
Krzyżem Wolności,284
Oficerskim Orderu Odrodzenia,279
Jasną Górę,218
Krzyżem Kawalerskim Orderu Odrodzenia,117
Komandorskim Orderu Odrodzenia,116
Rodzinom,76
pl.,70
Krzyżem Komandorskim Orderu Odrodzenia,67
Wybrzeżu,57
kościoła św.,57
Krzyżem Oficerskim Orderu Odrodzenia,55
Tygodni Kultury Chrześcijańskiej,52
Komuny Paryskiej,47
„Biuletyn Dolnośląski”,45
Załężu k.,42
Jasnej Górze,41
Zachodzie,40
Jezuitów,39
Lubelszczyźnie,37
Kopalnia Węgla Kamiennego Wujek,37
Trójmiasta,30
Śląsk Opolski,30
Dolnym Śląsku,29
Pomorza Zachodniego,27
Europy,25
Krzyżem Komandorskim,23
al.,21
Śląska,20
archikatedrze św.,20
Ziemi Kutnowskiej,20
Lubelszczyzny,19
Prezydencie,18
Ziemi Kłodzkiej,18
Zachód,18
Krzyżem Walecznych,18
Humanistyczny,18
UAkademia Medyczna,18
kościele Narodzenia NMP,17
Krzyża,17
Wybrzeża,17
Krzyżem Wielkim Orderu Odrodzenia,17
kościele Świętego Krzyża,17
NZwiązek Artystów Scen PolskichJ,16
Wojskowym Obozie Specjalnym w Czerwonym Borze,16
Podkarpaciu,16
Śląsku,16
Górnym Śląsku,15
kościół św.,15
Rynku,14
Rynku Głównym,14
Środkowo-Wschodni”,14
redawniej,14
Wykroczeń,13
Załężu,13
Trójcy,13
Urzędzie Wojewódzkim w,13
Ziemi Nadnoteckiej,13
Podhalu,13
parafii Świętej Trójcy,13
Wojewódzkim Przedsiębiorstwie Komunikacji Miejskiej w Szczecinie,12
Małopolsce,12
Ziemi,12
Europy Zachodniej,12
Wschodzie,12
Trójmieście,12
Wielkopolska,12
Mieczysławie Tarnowskim,11
kościele Matki,11
Małopolski,11
kościele NZwiązek Artystów,11
Powązkach,11
Huty im.,11
zielonogórskim,11
kościele NMP Matki Kościoła,10
Wniebowzięcia NMP,10
jezuitów,10
Wielkopolska Płdawniej,10
rzeszowskim,10
Opolszczyźnie,10
parafii Świętej Rodziny,10
Mazowszu,10
Pomorzu Zachodnim,10
Ziemi Zamojskiej,10
śląskich,10
Dolny Śląsk,9
Europie Wschodniej,9
Budowy Okrętów,9
Europy Środkowej,9
Automatyki,9
Europy Wschodniej,9
Górnego Śląska,9
katedrze św.,8
Elektrowni,8
kościele oo.,8
Europie,8
Wojewódzkim Przedsiębiorstwie Komunikacyjnym,8
kościele NMP,8
Mszach,8
Warmii,8
Bazylice Mariackiej,8
Litewskim,8
kościołach św.,8
Syberię,7
Domu Robotniczym ZNTK,7
Ziemia,7
Wojewódzkim Przedsiębiorstwie Komunikacji Miejskiej,7
„Biuletyn Informacyjny” Komitet Komitet Obywatelski,7
Zaspie,7
Wołyniu,7
Głogowcu,7
ZNTK,7
Kawalerskim Orderu Odrodzenia,7
Wielkopolsce,7
Wisłą,7
Fabryce Wyrobów Runowych Runotex,7
Ekonomii,7
Bazylice św.,7
Królewskiej,7
Rodziny,7
Wolności,7
UAkademia Medyczna w Poznaniu,7
Śląsk,6
Automatyki Elmor,6
urlopie bezpłatnym,6
parafii Wniebowzięcia NMP w,6
Ośrodku,6
kościołem św.,6
parafii Matki Bożej Królowej,6
Pomorzu,6
Małopolska,6
Ziemi Kępińskiej,6
Młodzieżowym Domu Kultury,6
Wielkopolska Południowa,6
Wawelu,6
Wojewódzkim Szpitalu Zespolonym w,6
Bieżąco,6
WZwiązek Artystów Scen Polskich,6
Bieszczadach,6
Domu Parafialnym,6
Mazowsze,6
kościele Najświętszego Zbawiciela,6
Zwycięstwa,6
Sanktuarium Matki Bożej w,6
Hożej,6
Tygodnie Kultury Chrześcijańskiej,6
Bystrzycy Kłodzkiej,5
kościele Świętej Trójcy,5
Grabiszyńskiej,5
Fabryce Samochodów Małolitrażowych,5
Urzędzie Wojewódzkim w Piotrkowie,5
Jasnej,5
Olsztyńskich Zakładach Graficznych,5
Kapituły Katedralnej,5
Ossolińskich,5
Teatrze Dramatycznym,5
kościele Najświętszego Serca Jezusowego,5
Wszechnicy Związkowej,5
Państwowej Fabryce Wagonów Pafawag we,5
parafii Świętego Krzyża,5
Wojewódzkim Zarządzie Inwestycji Rolniczych,5
Mazurach,5
Westerplatte,5
PPorozumienie Centrumhrześcijańska Demokracja,5
Śląsku Opolskim,5
Kurkowej,5
Fabryce Samochodów Małolitrażowych”,5
Huty Katowice,5
Podlasiu,5
Pomorski,5
Urzędzie Wojewódzkim,5
Gencjana,5
kościele Miłosierdzia Bożego,5
„Biuletyn Informacyjny”,5
kościele Podwyższenia Krzyża Świętego,5
Cmentarzu Powązkowskim,5
Zamku,5
A5,5
Zakładzie Karnym,5
Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,4
Wojewodzie Kaliskim,4
Wojewódzkim Biurze Geodezji,4
Historyczny,4
Klonowica,4
Mogilskiej,4
ZR Dolny Śląsk,4
Fabryce Samochodów Ciężarowych,4
Cmentarzu Wojskowym,4
Poradni Wychowawczo-Zawodowej,4
Syberii,4
Pomnikiem Poległych Stoczniowców,4
Kubie,4
Kopalnia Węgla Brunatnego Konin,4
Suwalszczyźnie,4
kościele Matki Bożej Królowej,4
Karolkowej,4
Elektrociepłowni,4
Jadwigi Śląskiej,4
Starym Mieście,4
Rakowieckiej,4
Dziale Głównego Mechanika,4
Wybrzeża Gdańskiego,4
Szpitalnej,4
Pałacu Kazimierzowskim,4
Fabryce Przekładni Samochodowych Polmo,4
Australii,4
Bibliotece Publicznej,4
kardawniej,4
Czerwonym Borze,4
HCP,4
Ekonomiczny,4
europejskiej,4
„Czasie Krakowskim”,4
Wszechnicy Nauczycielskiej,4
Teatrze Wybrzeże,4
Wojewódzkim Ośrodku Metodycznym w,4
Mazowsza,4
Runoteksie,4
Wojewódzkim Przedsiębiorstwie Wodociągów i Kanalizacji w,4
Bibliotece Pedagogicznej,4
Zakładach Metalowych im,4
Dziadów,4
Chrześcijańskiej,4
Zajezdni Autobusowej nr VII MPK,4
„Robotnika”,4
Hali Gwardii,4
kościele Św.,4
Bibliotece Jagiellońskiej,4
Wielkopolski,4
Wojewódzkim Przedsiębiorstwie Handlu Wewnętrznego,4
Marszałkowskiej,4
Al.,4
Tygodniach Kultury Chrześcijańskiej,4
Ochocie,4
Teatrze im.,4
Podhala,4
Ziemi Łódzkiej,4
parafii Trójcy Przenajświętszej,4
Ziemi Puławskiej,4
Błoniach,4
Półwiejskiej,4
Gdańskiej Stoczni Remontowej,3
w Gdańsku,3
średnich,3
Bednarskiej,3
Rzeszowszczyzny,3
Wisły,3
parafii NMP Matki Kościoła,3
Państwowej Fabryce Wagonów Pafawag,3
