source,target,edge
organizer,underground  structures,After
1984  1985,1985 Gdansk Poligraphic Gdańsk,Employed in
1987 REGULATION GDAŃSK REGION,underground IX fine,made
21  IV,1986 SOR KRPT,WSUW in
14  V,KM Pleszewo,fired
1981  he,pastoral Szczecin Cathedral;1982 St,collected
1980  Organizer,West Central,From
13  XII,1981  axle,interned
Latin ArchbishopBolesław family,Siberia,served
1981  he,public Opole province,became famous
he,honorary  S,awarded
8  V,1982 KW MO Axle,Interned
Western trade co,provinceWest election Pomeranian,In
He,Polonia Restituta,awarded
Silver Cross,2003 Bachelor Honor Freedom,decorated with
Piotr Adamowicz,1961  Elbląg,born26
he,Gdańsk Shipyard,supported
authors,Poland,opposition in
He,Freedom,awarded
political Tygodnik Borowski,law demonstration participants;Co S,was in
1966  worker,municipal trade union activities,released for
he,1989 MZK employee,restored to
independent London andunderground;She,internal  families,gave legal
1982  1987,MO SOR KRPT,Developed by
S Andrzej decision,underground  press,took
founder,then Incident Committee,Chairman of
18  XI,KW Mo Sor Krypt,Descended by
Maryla Aleksiejew,1956  Krakow,born
medical protest i,medical protest Huta,co
COMMUNITIES COMMITTEE COMMITTEE Solidarity,trade unions information campaigns,collected
1977  1978,WatchIII crypt sauce,Developed by WatchIII
upbringing education publisher,independent history curriculum,in
1981  flu,teacher Polish Scene Artists,No
1988  V,1989 SOR KRPT,Susw as
Józef Ambroziewicz,1941  Vilnius,born29
printers,own garrison trotilla,After
he,Poland,returned to
then Warsaw 3/1982,then Warsaw Jaworz,released
1980  participant,1980 Founding December,Committee
10  IX,1989  p,Developed by
Jerzy Andrzejewski,1909  Warsaw,born19
1960  beer,1960  mountains,goes by
Winner,weekly Poland Rebirth,awarded
Mirosław Andrzejewski,1962 on18 Mrągowo,born
30  VIII,1980 Gdańsk Shipyard,took
13  XII,1981  axle,interned in
Author,satirical Tygodnik drawings,"including""Newsweek"
Andrzej Kaczor,1947  Toruń,born9
Civic Committee,electoral trade commissions,negotiated
1980  Organizer,1980 Works Committee,Cover
he,Wydz,destroyed by
Antczak Jan,1937  k,born27
1981  he,othersNational  KS,called in
13  XII,1981  axle,interned
He,Polonia Restituta,awarded
She,legalization archive,stored
Andrzej Karol Anusz,1965 on27 Warsaw,born
Cross,cultural  activist,awarded
Antoni Anweiler,1938  valley,born15
25  XI,1985 WatchIIIA KW Szczecin,Developed by
Winner,appreciated  Poland,awarded
Jan Araszkiewicz,1956 Kościeniewie K,born17
main Lower songwriter,1981 church province,voivodeshipWałbrzyski;In
13  XII,1982 III 1982;18 axle,interned in
13  XII,1982 A Armenia,depth
IV 27 IX 1989,DEP,Developed by
We,1980  A,IX
Kajus Augustyniak,1962  Świecie,born26
Zygmunt Bogdan Augustyniak,1938 Aleksandrów Kujawski,born7
medical care organizer,woolen  plants,striking
several  times,revisions,stopped
also Underground money,weeks Catholic Kłodzko,wins
he,1986 Lublin region,ventures
13  XII,12 Kamienna VII,interned in
editor,tourist popularizer society,guide Polish
17  XII,1981  axle,interned
Bogdan Bachmura,1958  Olsztyn,born19
1990  Co,Democratic  Olsztyn,founder
Roman Bäcker,1955 Kujawski Solcu,born13
distinguished culture activist,Polonia Restituta,awarded
1983,DepartmentIII SOR crypt,worked
1981 Mkdomisja organizer,then Mkdomisja Zakładowa company,withdrew from
1981  participant,cash rebounds,internaged
1980 Self Government founder,governing Rural provinceBiałystok,region;In
15  XII,1981 boycott buying milk,released after
1981  interned,remuneration Świdnica,released
1981  1989,EC SOR crypt,worked
Balicki Marek,1953  Słupsk,born29
29 remuneration XII,remuneration Strzebielinko,released
1983  December,1984  p,worked
underground  structures,"S"";several  SB",stopped
Jerzy Baliński,1941  Łódź,born15
1982  member,Always  magazines,publishing underground
Cross,cultural  activist,awarded
1981–1990,MO SOR crypt,worked
1955,outz,Developed by
1970 occupation 22,second Workshop Fr,established from
30  VI,1984 Pomeranian Military amnesty;fired,interned in
he,France,went to
1971  1984,outz,Developed by
1981  Kolporter,persons;Repeatedly aid SB,stopped
1981,DepartmentIV KW EC,worked
13  XII,1981  axle,interned in
1998 bronze medal,national Fallen 2016,honored with
13  XII,1981  axle,interned in
20 WatchThe kw,crypt sauce,Developed by
1980  he,Ryszard Majdzik,brought from
1981  Organizer,1982 Eastern Fr,Organizer
1977  1985,KW MO SOR KRPT,Developed by
7 hiding;10 V,anxiety,interned in
13  V,1982  axle,interned
Janusz Barański,1960  Wieluń,born1
leaflet anniversary He,pastoral Aid homeland,collected
Marek Kazimierz Barański,1943  Warsaw,born19
1961  Member,Janusz 1966,reactivated
13  XII,1981 Warsaw July,interned in
1976  1987,SOR KE crypt,Developed by
12/13  XII,1981  axle,stopped
26  VIII,1980 strike action,stopped by
13  XII,1981  axle,interned
Author,Here Ryszard Opole,is
He,exile Ryszard Freedom,awarded
Stanisław Sylwester Bareja,1929  Warsaw,born5
1980  founder,Strachy Na Lachy,Scriptures
how  you,me,wanted
Zenon,1955  Otwock,Witold
IX,1980  S,In
1981 Third Załężeń,VIII  Głodówka,released
1981,WatchIII SOR KRPT,Developed by
22 removal XII,1981 removal Potulice,released
1959  trader,Kutno,disseminates
1981  organizer,underground  Solidarity,leaflets
1980  Participant,11 strike VII,signed
1981  interned,remedy Warsaw Grochów,released
1981  participant,1981 billing city;Kolporter,writings
1981 Provisional Committee,printing Andrzej ONR,Thank
first family moderator,first family Lublin,founders of
13  XII,1981  axle,interned
Organizer,disabled food incred,passed on
1989  he,Lithuania,trained
He,vocational  Inowrocław,graduated from
he,SO KW crypt,worked
Zofia Bartoszewska,1934  Józefów,born19
where  she,medical  striker,detained for
Multiple,25 solidarity Poland,occasion of
1981,SO KW crypt,worked
13  XII,28 Warsaw IV,interned in
25  February,1987 FacultyIV Dep,worked
13  XII,1982 Ingrigue BP,interned in
1950 Tomaszów he,Radiotechnical Technical Dzierżoniów,graduated from
organizer,Department Wydz,In
1945 Soldier Freedom,times Radom UBP,detained several
then ZR Warmińsko Mazury,ZR,concerts
13  December,serious prison January,interned in
1970 Cooperative Self he,own  Hermanowa,runs
13  XII,9 Kielce XII,interned in
1981,KW MO SOR KRPT,worked
1981  attempt,Sandomierz Stalowa others,participant in
Teodor Basak,1933 Huta Dziążyńska K,born13
13  XII,1982 Włodawa;14 ZW,interned in
He,Golden Merit,awarded
1983,WatchV EC Krypt,Developed by
interned information activity,French church Małopolska,conducted
she,Poland,returned to
1971 Shipyard i,agricultural repair Gryfice,m
bad  Mountains,19  XI,interned in
13  XII,1981  axle,interned in
trade unions,Polish trade scenes,In
13  XII,23  XII,interned in
1977  1985,KW MO SOR KRPT,WUSW in
14  II,1982 16 anxiety,interned in
Sejm POLSKA he,degree  dorm,handed
Vice President;1996,real  policy,In
8 EJ;III VIII,1983  amnesty,revealed as
1980,so Zielona crypt,Developed by
1981  1982,WatchV KW sauce,Developed by
1982  Cooperator,political Warsaw Morrada Krajow,gave
1981  she,printed group press,developed
Bogusław Michał Bek,1955  Krosno,born20
VI,lower opposition activities,degraded to
Andrzej Janusz Belina,IX 1958 IX Radom,born19
24  November,1989 SOR crypt,worked
1985  1988,Sor Krypt,Developed by
1982 15 proceedings,break 15 case,arrested
Honorary Home Army plaques,Garwolin region,member of
Kraków Nowa member,war status,painting
He,Rzeczpospolita,published in
12  28,WatchIII SOR KRPT,Developed by WatchIII
1980  Co,1980 WSI IV,Opoltechnical
13  XII,then  July,interned in
Liberal Democratic Party Niepodległości,focusing Independence Environment,thought
2001 Gold decorations,Aleksander Kwaśniewski,accept
13  XII,young Christian Culture,interned in
Marek Bernaciak,1965  Toruń,born17
1983  1985,leaflet Miętno K,collected
participant,leaflet Nszowiek actions,Solidarność
member,20 Military District 2,XII
13  XII,1981  axle,interned in
participant,S Professional Nszek,land
