source,target,edge
organizer,1988 Board o.o,stopped
1966 born11 He,vocational Gdańsk renovation shipyard,graduated from
1984  1985,1985 Gdansk Poligraphic Gdańsk,Employed in
1988 strike participant,underground video Studio Gdańsk,In
10th OWN ECONOMIC GEOLG,2007 FMW Association,Member of
21  IV,1986 SOR KRPT.Federation,WSUW in
III 1947 III He,vocational  school,graduated from
1982 Social decision,VII 1982 Food Industry Plants,1989
currently Michał He,Polish Belarus,graduated from
1970 occupation he,state Radom,Warski
provincial homeland.5 court,S  ZPSS.He,collected
participant,Committee trade 1997,retired
1980  Organizer,Economic Program National NshezekProfessional,Committee
1982  X,Solidarity Parliamentary Poznań,unions
Polish State Railways,Accounting State Railways 2009,retired
15  XII,automatic Gdańsk cooperative,turner in
1956 born29 He,Polish Scenes .,Tam
journalist,working trade seminar,Experience
1980 strike participant,democratic initiative side,In
name,photographic  1978,Solidarity
-author Round who,-author Round table,statements
Latin ArchbishopBolesław family,Opole auxiliary bishop,teacher
monument,main Opole amphitheater,During
12th Zbigniew Hryciuk,still Connected Aid diocese,involved in
he,honorary  S,awarded
few Easter dozen,single family Szczecin,Tourist
Western trade co,S Western Pomerania Region,Chairman of
He,Polonia Restituta,awarded
1988 Janusz he,striking port Szczecin,co
Silver Cross,2003 Bachelor Honor Freedom,decorated with
Piotr Adamowicz,1961  Elbląg,born26
Gdańsk Lenin,Trade Unions Dariusz Kobzdeja,From
Isolation,1988 St. Gdańsk,Participant of
authors,Poland,p.
29 Polish He,Polonia Restituta,awarded
He,Freedom,awarded
political Tygodnik Borowski,law demonstration participants;Co S,was in
2 Advocate Team He,own law 2010,running
Solidarity IX XII,1981 Marek Turno,participated in
1984 Co -,communist Natali Gorbaniewska,time
Consultation Lech Wałęsa,2009 Poznań IPN,Delegation of
Niebock K. He,European postgraduate Rzeszów,graduated from
2  President,1998 Commission Research 1998,Society in
Author,quarterly International Ecological centuries,say
1949 Sokołów He,Basic Vocational Warsaw,Słowackiego in
1966  worker,municipal trade union activities,released for
he,1989 MZK 2004,benefit
Legal State participants,Secretary Olsztyn.1986 ZR,S
1982  1987,MO SOR KRPT.Delegate,Developed by
1955 Marek He,car Kalisz,graduated from
Polish Metal Foundries Calimeth,locksmith quality machines,employed as
underground J. he,provincial Metalwag Labor Wolfen,dismissed from
then Incident owner,Marek Kalisz,Since
18  XI,1987 SOR KRPT.Epigonia,Light;6
1956  She,medical  study,graduated from
1995 Polish Nursing representative,medical Janusz Kutyba,cooperated with
IV  V,Maksymilian Kraków Mistrzejowice,Kolbe in
psychological Kraków Foundation organizer,disabled GallerySienna people,collected
1977  1978,Solidarity Sor Krypt,Winding
1987 Scriptures signatories,civil Warsaw Pastoral right,appointed
