„S”,5500
Wydz,2864
Komitet Komitet Obywatelski,2528
Komisja Zakładowa,1437
„Solidarność”,1333
„Solidarmość”,865
SB,847
Komisja Krajowa NSzwiązek zawodowy,843
Komitetu Założycielskiego,725
SOS,673
„Solidarność”R,561
„Solidarność” „S”,541
MO,540
KPN,534
Solidarności,530
KS,525
AŚ,492
Komitet Samoobrony Społecznej „KOR”,490
Komisja ZakładowaD,441
KE krypt,407
Niezależne Zrzeszenie Studentów,404
„S” Niezależny Samorządny Związek Zawodowy Rolników Indywidnal-nych „Solidarność”,402
Rzeczpospolita Polska,385
MKomisja Zakładowa,375
University of Warsaw,359
Rada KrajowaW,357
Międzyzakładowy Komitet Strajkowy,346
ZK,333
Klub Inteligencji Katolickiej,330
Komisja Zakładowa „S”,326
Uniwersytetu Warszawskiego,317
Komitet Obywatelski,299
WZD,270
Zasłużony Działacz Kultury,254
Polska Rzeczypospolita Ludowa,252
kolegium ds.,248
KW MO,245
„Tygodnik Mazowsze”,231
„Solidarność”WzP,229
Kawalerskim Orderu Odrodzenia,227
Stoczni Gdańskiej im.,220
PZPR,215
SW,213
MKomisja Krajowa NSzwiązek,211
KW MO/WUSW,210
Sejmu Polska Rzeczypospolita Ludowa,201
Katolicki Uniwersytet Lubelski,196
Artystów Scen Polskich,190
Związek Harcerstwa Pałskiego,188
ZOMO,180
WSK PZL,172
AWS,170
Uniwersytetu,168
z o.o.,164
Uniwersytet im.,160
TKomisja Zakładowa,156
III KW MO,156
„Solidarność”R.,156
„Solidarność”S”,150
PiS,149
Radia „S”,146
WSI,145
OO Włodawa,143
„Komitet Komitet Obywatelski,140
„Solidarność Walcząca”,140
TZR,139
Duszpasterstwa Ludzi Pracy,132
HSW,132
SG,129
Stoczni Gdańskiej,129
„Solidarność”R/,129
parafii św.,129
Towarzystwo Kursów Naukowych,128
NOWa,126
Uniwersytetu Latającego,126
„Solidarmość” „S”,123
„Solidarmość”P,123
solidarnościowego,121
Armia Krajowa,121
Polska Partia Socjalistyczna,120
Związek Zawodowy «Solidarność»,120
Stoczni Szczecińskiej im.,118
Komisji Wydziałowej,118
Katolickiego Uniwersytetu Lubelskiego,117
Związek Artystów Scen Polskich,116
Związku,115
„Robotnik”,114
Sejmu,112
SKS,111
Porozumienie Centrum,111
Komitetu Założycielskiego „S”,106
Solidarności Walczącej,105
Rada KrajowaS,105
Prezydium ZR,103
Rada Krajowaomisja Krajowa NSzwiązek zawodowy,103
archidiecezji warszawskiej,101
Ogólnopolską Pielgrzymkę Ludzi Pracy,101
Zasadniczą Szkołę Zawodową,100
Rady Państwa,100
AŚ Warszawa-Mokotów,99
KW PZPR,98
Politechniki Gdańskiej,98
Prezydium,96
Uniwersytetu im.,93
„Solidarności Walczącej”,91
PKS,91
Rady Pracowniczej,91
MKomitet Komitet Obywatelski,88
Politechniki Warszawskiej,87
Uniwersytetu Jagiellońskiego,86
Uniwersytet Jagiellański,85
Zarządu,85
Klub Parlamentarny,85
RMP,84
Kościoła,84
Uniwersytetu Gdańskiego,83
Ministerstwo Spraw Wewnętrznych,83
PO,82
TW,82
Uniwersytetu Wrocławskiego,81
Polska Akademia Nauk,81
Komisji Rewizyjnej,81
„Wola”,80
Związek Zawodowy „S”,80
MKomisja Zakładowa „S”,78
KE krypt.,78
ZNTK,78
TKomisja Krajowa NSzwiązek,77
TKomisja Zakładowa „S”,76
Huta im.,76
MPK,76
MZwiązek Polskich Autorów,75
KM MO,73
SN,73
„Grot”,72
Ruchu WiP,72
RS AWS,72
w Toruniu,69
Komisji ds.,69
OO Chełm,67
„Solidarność”S,66
Duszpasterstwa Akademickiego,64
„Hutnik”,64
Komitetu,64
„Obraz”,63
Senatu,63
Stowarzyszenia Wolnego Słowa,62
„S” Regionu Mazowsze,61
FMW,60
III Ministerstwo Spraw Wewnętrznych,60
Rada,60
Telewizja Polska,60
Związek Młodzieży Socjalist,60
WUSW,59
