,source
He,151
13  XII,126
organizer,123
he,91
member,48
founder,44
working  DLP,41
1981  Isolation,38
participant,36
-,27
1980  member,24
1981  he,24
Author,23
1983,22
1981  1982,20
1982  1983,18
1980  participant,18
1980  he,18
she,17
1980 strike participant,17
author,16
Cross,16
1982  1989,15
1978,15
1989,15
1981  VII,13
1984,13
worker,13
owner,13
1981,13
We,12
it,12
Honorary Citizen,12
1982  1984,12
XII,11
Laureate,11
Committee Civic Committee,11
distinguished  badge,11
1981  member,10
1981  Participant,10
15  XII,10
1983  1985,10
1981  participant,10
name,10
I,9
1981  Kolporter,9
1981  organizer,9
1980,9
which,9
III,9
1980  1985,9
1988  1989,9
1980  1984,8
Chairman,8
1983  he,8
1989 Committee Civic Committee,8
1958  He,8
1980  Chairman,8
V,8
1980  1981,8
1981  1985,8
opponent,8
VII,8
1981 strike participant,7
Civic Committee,7
Bielsko He,7
1980  organizer,7
1980 Gdańsk Lenin,7
editor,7
1982  Isolation,7
IX,7
III He,6
14  XII,6
X,6
co,6
1984  1985,6
1986,6
IV,6
President,6
1949  He,6
initiator,6
1981  Interned,6
1982,6
1980 Co -,6
1989  member,6
1980  Participant,6
employee,6
1981  1989,6
1989  he,6
30  IV,6
Winner,6
1980 Vice - President,5
chairman,5
Polonia Cross,5
where  he,5
31  XII,5
1982  1987,5
1982  V,5
1955  He,5
1950  He,5
1983  1988,5
Isolation,5
Stanisław He,5
1951  He,5
1982  1985,5
1982  VII,5
XI,5
1987  1989,5
1952  He,5
authors,5
1981  XII,5
Independent Self Governing Trade Union,5
who,5
Knight Cross,5
Andrzej He,4
cultural  activist,4
1980  1982,4
Gdańsk Lenin,4
1983  SMW,4
She,4
1961  He,4
5  VII,4
professional trade unions,4
1938  He,4
underground  he,4
Participant,4
1980 Founding Committee,4
1984  XII,4
25  XI,4
Poland Cross,4
1988 strike participant,4
1980  Co,4
23  VII,4
governing trade union,4
head,4
III 1950 III He,4
1946  He,4
- chairman,4
23  XII,4
creator,4
12  VIII,4
1980  President,4
1982  1988,4
1989  Chairman,4
distinguished culture activist,4
24  VII,3
then Founding Chairman,3
1977,3
1970,3
born29 He,3
1987,3
KOR COMMITTEE COMMITTEE COMMITTEE,3
Eugeniusz He,3
1980  VII,3
Kolporter,3
1  VI,3
1981  Organizer,3
1947  He,3
1988 Gdańsk he,3
Literary Institute,3
1981  IV,3
1944  He,3
president,3
1980  Organizer,3
Bulletin Information Bulletin,3
Krzysztof He,3
1949 Ostrów He,3
1968  1969,3
Eastern,3
VIII,3
1990  he,3
28  VIII,3
1982  participant,3
1977  1985,3
1980  chairman,3
1985 Co -,3
Józef He,3
1987 A member,3
IX He,3
12  XII,3
1952  She,3
1980  1989,3
III 1941 III He,3
1980 co -organizer,3
1948  He,3
1972,3
Vice - President,3
31  VIII,3
then Working Committee,3
that,3
Solidarity  Solidarity,3
1982  organizer,3
1989 A member,3
1982 IX 1989,3
1984 A member,3
Solidarity trade R,3
1982  VI,3
1976  1982,3
1993  Assistant,3
1982  he,3
14  VI,3
1981  she,3
1989 Co -,3
military  he,3
1980  she,3
III  KW,3
times  he,3
Pastoral  care,3
1986  he,3
Solidarność,3
1957  He,3
1954  He,3
1989  co,2
22  VII,2
partisan  cross,2
IX II 1982,2
10  IX,2
2016 zm.8 He,2
1974  Vicar,2
Soviet  he,2
1987  Cooperator,2
1968  he,2
1949 on1 He,2
1954 born25 He,2
underground  structures,2
19 IX 1984,2
2012  He,2
1948 born22 He,2
III participant,2
2014 d.16 He,2
1983  December,2
1948 Jacek He,2
1984 District Court,2
Henryk He,2
1995 Jelenia He,2
.,2
1978  VIII,2
there d.25 He,2
monthly CDN letter,2
1987 Co -,2
III 1955 III He,2
XII 1981 XII 1988,2
Several publishing times,2
Gentian Branch Jelenia I,2
apartment,2
1981  printer,2
1981  activist,2
28 AŚ Warszawa VII,2
12/13  XII,2
Individuals Governing Trade Solidarity,2
2008 d.9 He,2
Zdzisław He,2
Average  education,2
1935  He,2
1956 born8 He,2
1988  he,2
18,2
1953 Jerzy He,2
13  IX,2
2019 d.15 He,2
11  VII,2
born3 III He,2
departmental Gdańsk Lenin,2
1977  1978,2
1988 Gdańsk Lenin,2
1982  XI,2
VIII participant,2
Four  times,2
22  January,2
II He,2
13  XI,2
1974  1989,2
1981  VIII,2
Jan He,2
W  Chairman,2
specialist,2
1937  He,2
What,2
26  VI,2
1945  he,2
1982  X,2
1984  Casual,2
1947 born16 He,2
1987–1989,2
1981  President,2
25  1983,2
Co -,2
1986 Co -,2
Solidarity trade R;He,2
17  VII,2
currently III Ukraine).He,2
1985  1988,2
IX 1947 IX He,2
1980 VIII Co,2
VI,2
collaborator Committee,2
1972  Employee,2
1980 vice -chairman,2
1952 born4 He,2
1983  VII,2
21  XII,2
Several  times,2
70  He,2
1951 Zbigniew He,2
1979,2
1982  XII,2
1981 Gdańsk Lenin,2
1980  Head,2
1985  1990,2
1980  co,2
mining Lubin,2
Co,2
currently  Ukraine).He,2
then  member,2
Silver Cross,2
22  XII,2
30  VIII,2
then Vice -President,2
1965  He,2
29  IV,2
they,2
II,2
1982  decision,2
EC IX,2
II 1948 II He,2
17  XI,2
1980  Chairwoman,2
COMMUNITY Member S,2
martial  he,2
1981 I participant,2
20  IV,2
19 February -28,2
11 IX 1985,2
Kor Committee Civic Committee,2
1980  KS,2
1981 zm.16 He,2
underground  activist,2
Starogard He,2
KOR Committee Civic Committee,2
It,2
1980  VI,2
