,target
Polonia Restituta,58
vocational  school,28
Poland,27
Freedom,22
SOR crypt,17
Polonia Freedom,17
K Sor Krypt,16
EC Krypt,15
cultural  activist,14
crypt sauce,14
Golden Merit,14
technical  school,14
mechanical  technician,11
high  school,11
there Sor Krypt,10
Szczecin,10
1989 EC Krypt,10
amnesty,9
MO SOR crypt,8
1989 SOR crypt,7
there EC Krypt,7
1989 crypt sauce,7
mechanical technical school,7
technical  tech,7
Sor Krypt,6
construction technician,6
1983 SOR crypt,6
technical  Gdańsk,6
1981 Freedom Justice independence,6
FacultyIII SOR crypt,6
SB,6
Self Governing Trade Individuals,6
MO crypt sauce,6
mechanical  Szczecin,6
Bielsko Biała,6
48  hours,6
Nowy Sącz,6
1989 EC crypt,6
MO EC crypt,5
1982 crypt sauce,5
martial  law,5
Warsaw,5
KW MO SOR crypt,5
1980 opposition activists,5
1981 Gdańsk region,5
KW MO EC Krypt,5
Gdańsk,5
1984  amnesty,5
KW MO Sor Krypt,5
Maksymilian Kraków Mistrzejowice,5
high  Warsaw,5
KW Mo EC Krypt,5
Mo crypt sauce,5
Solidarity Sor Krypt,5
Paris,5
Mo EC Krypt,5
1985 EC Krypt,5
Solidarity SOR crypt,5
S,5
1981 removal Strzebelinki,4
WatchV SOR crypt,4
High School,4
work,4
IV EC Krypt,4
crypt,4
1985 crypt sauce,4
Solidarity Trade cradle,4
technical  Warsaw,4
car Szczecin,4
SOS SOR crypt,4
WatchIII EC Krypt,4
repeatedly  revisions,4
III crypt sauce,4
Solidarity trade S,4
1988 Gdańsk Shipyard,4
Wrocław,4
KW Mo crypt sauce,4
13  XII,4
1983 State Council,4
mechanical Stalowa Wola,4
free word association,4
III EC Krypt,4
Vocational School Tamże,4
technical  Wrocław,4
1947  Warsaw,4
S Lower Silesia,4
1988 crypt sauce,4
WatchV EC Krypt,4
apartment,4
own  farm,4
Christian  culture,3
Meritorious Culture Poland,3
primary  school,3
1988 Kraków Mistrzejowice,3
Mechanical Szczecin,3
